Variable,Description,Type,Value range,Notes,Stage (raw/preprocessed),Required,Keep in .tsv file,trial_type label in .tsv file
runNb,Run/block number,,1~8,"1-4 in ol_1, 5-8 in ol_2",Raw,Yes,Separate column,
runID,,,,,Raw,No,No,
trialNb,Trial number within run/block,Discrete,1~12,Goes 1-12 then repeats,Raw,Yes,Separate column,
trType,Trial type,Nominal,"1,2","1 for observe, 2 for play",Raw,Yes,Separate column,
goalToken,Goal token,Nominal,"1,2,3","Token color that is rewarded. 1=green, 2=red, 3=blue",Raw,Yes,Separate column,
uncertainty,Slot machine uncertainty level,Nominal,"1,2","More uncertain = 2, less uncertain = 1",Raw,Yes,Separate column,
unavAct,Unavailable action,Nominal,"1,2,3","Unavailable slot machine. 1 = left, 2 = middle, 3 = right",Raw,Yes,Separate column,
corrAct,Correct action,Nominal,"1,2,3","Correct action given the (un)availability of the options. 1 = left, 2 = middle, 3 = right",Raw,Yes,Separate column,
bestAct,Best action,Nominal,"1,2,3","Best action of all three machines. 1 = left, 2 = middle, 3 = right",Raw,Yes,Separate column,
vertOrd,Slot machine vertical order for image,Nominal,"1,2,3","Determines slot machine image, see images folder",Raw,Yes,Separate column,
horizOrd,Horizontal order of slot machines,Nominal,"1,2,3","From design matrix, 1= [B,G,R], 2 = [R,B,G],3= [B,G,R]",Raw,Yes,Separate column,
isBreak,Last trial of block,,"0,1","1 if last trial, 0 if not",Raw,No,No,
tokenIfLeft,Token if player chooses left,Nominal,"1,2,3","Token color provided if player chooses left, 1=green, 2=red, 3=blue",Raw,Yes,Separate column,
tokenIfMid,Token if player chooses middle,Nominal,"1,2,3","Token color provided if player chooses middle, 1=green, 2=red, 3=blue",Raw,Yes,Separate column,
tokenIfRight,Token if player chooses right,Nominal,"1,2,3","Token color provided if player chooses right, 1=green, 2=red, 3=blue",Raw,Yes,Separate column,
trials.thisRepN,,,0,,Raw,No,No,
trials.thisTrialN,Trial number ,Discrete,0-47,,Raw,Yes,Separate column,
trials.thisN,,,,,Raw,No,No,
trials.thisIndex,,,,,Raw,No,No,
scannerTimer_sync,Scanner Timer at sync complete,Continuous,Should be ~0,,Raw,No,No,
key_resp.keys,Keypresses during scanner sync,Nominal,,Should be None,Raw,No,No,
key_resp.rt,Keypress RT during scanner sync,Continuous,,Only exists if key_resp.keys exists,Raw,No,No,
sync_scanner_sync_scanner_text_started,,,,,Raw,No,No,
scannerTimer_dummy_Start,Scanner time at dummy,Continuous,,,Raw,No,No,
scannerTimer_dummy_End,Scanner time at dummy end,Continuous,,,Raw,No,No,
scannerTimer_fixation_ob_Start,Scanner time at 'Observe' display (start of observe trials),Continuous,,,Raw,Yes,Pivot to onset,observe_start
jitter1,Jitter 1 duration ('Observe' display),Continuous,,Observe trials only,Raw,Yes,Separate column,
fixation_ob_dur,Actual 'Observe' display duration,Continuous,,0 on play trials,Raw,Yes,Pivot to duration,observe_start
